Auvergne-Rhône-Alpes,1266
Bourgogne-Franche-Comté,903
Bretagne,359
Centre-Val de Loire,254
Corse,173
Grand Est,3089
Hauts-de-France,791,**
Ile-de-France,4,695
Normandie,345
Nouvelle-Aquitaine,521
Occitanie,611
Pays de la Loire,234
Provence-Alpes-Côte d’Azur,1041
Total Métropole,14282
Guadeloupe,56
Saint-Barthélémy,3
Saint-Martin,5
Guyane,18
Martinique,37
Mayotte,11
La Réunion,47
Total Outre Mer,177
